Active,Admin2,Combined_Key,Confirmed,Country_Region,Deaths,FIPS,Incident_Rate,Last_Update,Lat,Long_,OBJECTID,People_Tested,Province_State,Recovered
0,Yukon-Koyukuk,"Yukon-Koyukuk, Alaska, US",1,US,0,02290,,1586178941000,65.50815459,-151.3907387,2497,,Alaska,0
0,Yuma,"Yuma, Arizona, US",13,US,0,04027,,1586178941000,32.76895712,-113.9066674,2498,,Arizona,0
0,Yuma,"Yuma, Colorado, US",2,US,0,08125,,1586178941000,40.00346839,-102.4258673,2499,,Colorado,0
0,,"Alberta, Canada",1250,Canada,23,,,1586179353000,53.9333,-116.5765,2500,,Alberta,0
3,,"Anguilla, United Kingdom",3,United Kingdom,0,,,1586178920000,18.2206,-63.0686,2501,,Anguilla,0
0,,"Anhui, China",990,China,6,,,1583644741000,31.8257,117.2264,2502,,Anhui,984
63,,"Aruba, Netherlands",64,Netherlands,0,,,1586178920000,12.5211,-69.9683,2503,,Aruba,1
54,,"Australian Capital Territory, Australia",96,Australia,2,,,1586179368000,-35.4735,149.0124,2504,,Australian Capital Territory,40
136,,"Beijing, China",587,China,8,,,1586135674000,40.1824,116.4142,2505,,Beijing,443
23,,"Bermuda, United Kingdom",37,United Kingdom,0,,,1586178920000,32.3078,-64.7505,2506,,Bermuda,14
2,,"Bonaire, Sint Eustatius and Saba, Netherlands",2,Netherlands,0,,,1586178920000,12.1784,-68.2385,2507,,"Bonaire, Sint Eustatius and Saba",0
0,,"British Columbia, Canada",1203,Canada,38,,,1586179353000,53.7267,-127.6476,2508,,British Columbia,0
3,,"British Virgin Islands, United Kingdom",3,United Kingdom,0,,,1586178920000,18.4207,-64.64,2509,,British Virgin Islands,0
37,,"Cayman Islands, United Kingdom",39,United Kingdom,1,,,1586178920000,19.3133,-81.2546,2510,,Cayman Islands,1
276,,"Channel Islands, United Kingdom",309,United Kingdom,6,,,1586178920000,49.3723,-2.3644,2511,,Channel Islands,27
3,,"Chongqing, China",579,China,6,,,1585440852000,30.0572,107.874,2512,,Chongqing,570
5,,"Curacao, Netherlands",11,Netherlands,1,,,1586178920000,12.1696,-68.99,2513,,Curacao,5
0,,"Diamond Princess, Canada",0,Canada,1,,,1586179353000,,,2514,,Diamond Princess,0
0,,"Diamond Princess, US",49,US,0,88888,,1586178941000,,,2515,,Diamond Princess,0
2,,"Falkland Islands (Islas Malvinas), United Kingdom",2,United Kingdom,0,,,1586178920000,-51.7963,-59.5236,2516,,Falkland Islands (Islas Malvinas),0
76,,"Faroe Islands, Denmark",183,Denmark,0,,,1586178920000,61.8926,-6.9118,2517,,Faroe Islands,107
41,,"French Guiana, France",68,France,0,,,1586178920000,4,-53,2518,,French Guiana,27
41,,"French Polynesia, France",41,France,0,,,1586178920000,-17.6797,-149.4068,2519,,French Polynesia,0
